Data_Status,MSN,StateCode,Year,Data
"2023F","ABICB","AK","1960",0
"2023F","ABICB","AK","1961",0
"2023F","ABICB","AK","1962",0
"2023F","ABICB","AK","1963",0
"2023F","ABICB","AK","1964",0
"2023F","ABICB","AK","1965",0
"2023F","ABICB","AK","1966",0
"2023F","ABICB","AK","1967",0
"2023F","ABICB","AK","1968",0
"2023F","ABICB","AK","1969",0
"2023F","ABICB","AK","1970",0
"2023F","ABICB","AK","1971",0
"2023F","ABICB","AK","1972",0
"2023F","ABICB","AK","1973",0
"2023F","ABICB","AK","1974",0
"2023F","ABICB","AK","1975",0
"2023F","ABICB","AK","1976",0
"2023F","ABICB","AK","1977",0
"2023F","ABICB","AK","1978",0
"2023F","ABICB","AK","1979",0
"2023F","ABICB","AK","1980",0
"2023F","ABICB","AK","1981",42
"2023F","ABICB","AK","1982",45
"2023F","ABICB","AK","1983",6
"2023F","ABICB","AK","1984",1
"2023F","ABICB","AK","1985",50
"2023F","ABICB","AK","1986",8
"2023F","ABICB","AK","1987",1
"2023F","ABICB","AK","1988",-15
"2023F","ABICB","AK","1989",2
"2023F","ABICB","AK","1990",4
"2023F","ABICB","AK","1991",-1
"2023F","ABICB","AK","1992",3
"2023F","ABICB","AK","1993",3
"2023F","ABICB","AK","1994",107
"2023F","ABICB","AK","1995",93
"2023F","ABICB","AK","1996",130
"2023F","ABICB","AK","1997",165
"2023F","ABICB","AK","1998",87
"2023F","ABICB","AK","1999",141
"2023F","ABICB","AK","2000",84
"2023F","ABICB","AK","2001",134
"2023F","ABICB","AK","2002",164
"2023F","ABICB","AK","2003",165
"2023F","ABICB","AK","2004",233
"2023F","ABICB","AK","2005",189
"2023F","ABICB","AK","2006",14
"2023F","ABICB","AK","2007",39
"2023F","ABICB","AK","2008",2
"2023F","ABICB","AK","2009",-14
"2023F","ABICB","AK","2010",-4
"2023F","ABICB","AK","2011",0
"2023F","ABICB","AK","2012",0
"2023F","ABICB","AK","2013",-5
"2023F","ABICB","AK","2014",-2
"2023F","ABICB","AK","2015",-3
"2023F","ABICB","AK","2016",-3
"2023F","ABICB","AK","2017",-2
"2023F","ABICB","AK","2018",-14
"2023F","ABICB","AK","2019",-10
"2023F","ABICB","AK","2020",-7
"2023F","ABICB","AK","2021",-8
"2023F","ABICB","AK","2022",-6
"2023F","ABICB","AK","2023",-6
"2023F","ABICB","AL","1960",0
"2023F","ABICB","AL","1961",0
"2023F","ABICB","AL","1962",0
"2023F","ABICB","AL","1963",0
"2023F","ABICB","AL","1964",0
"2023F","ABICB","AL","1965",0
"2023F","ABICB","AL","1966",0
"2023F","ABICB","AL","1967",0
"2023F","ABICB","AL","1968",0
"2023F","ABICB","AL","1969",0
"2023F","ABICB","AL","1970",0
"2023F","ABICB","AL","1971",0
"2023F","ABICB","AL","1972",0
"2023F","ABICB","AL","1973",0
"2023F","ABICB","AL","1974",0
"2023F","ABICB","AL","1975",0
"2023F","ABICB","AL","1976",0
"2023F","ABICB","AL","1977",0
"2023F","ABICB","AL","1978",0
"2023F","ABICB","AL","1979",0
"2023F","ABICB","AL","1980",0
"2023F","ABICB","AL","1981",46
"2023F","ABICB","AL","1982",56
"2023F","ABICB","AL","1983",4
"2023F","ABICB","AL","1984",1
"2023F","ABICB","AL","1985",30
"2023F","ABICB","AL","1986",5
"2023F","ABICB","AL","1987",1
"2023F","ABICB","AL","1988",-10
"2023F","ABICB","AL","1989",1
"2023F","ABICB","AL","1990",2
"2023F","ABICB","AL","1991",-1
"2023F","ABICB","AL","1992",1
"2023F","ABICB","AL","1993",1
"2023F","ABICB","AL","1994",49
"2023F","ABICB","AL","1995",42
"2023F","ABICB","AL","1996",57
"2023F","ABICB","AL","1997",76
"2023F","ABICB","AL","1998",32
"2023F","ABICB","AL","1999",51
"2023F","ABICB","AL","2000",30
"2023F","ABICB","AL","2001",42
"2023F","ABICB","AL","2002",59
"2023F","ABICB","AL","2003",58
"2023F","ABICB","AL","2004",71
"2023F","ABICB","AL","2005",69
"2023F","ABICB","AL","2006",4
"2023F","ABICB","AL","2007",13
"2023F","ABICB","AL","2008",1
"2023F","ABICB","AL","2009",-6
"2023F","ABICB","AL","2010",-2
"2023F","ABICB","AL","2011",0
"2023F","ABICB","AL","2012",0
"2023F","ABICB","AL","2013",-3
"2023F","ABICB","AL","2014",-1
"2023F","ABICB","AL","2015",-3
"2023F","ABICB","AL","2016",-2
"2023F","ABICB","AL","2017",-1
"2023F","ABICB","AL","2018",-12
"2023F","ABICB","AL","2019",-9
"2023F","ABICB","AL","2020",-6
"2023F","ABICB","AL","2021",-6
"2023F","ABICB","AL","2022",-5
"2023F","ABICB","AL","2023",-5
"2023F","ABICB","AR","1960",0
"2023F","ABICB","AR","1961",0
"2023F","ABICB","AR","1962",0
"2023F","ABICB","AR","1963",0
"2023F","ABICB","AR","1964",0
"2023F","ABICB","AR","1965",0
"2023F","ABICB","AR","1966",0
"2023F","ABICB","AR","1967",0
"2023F","ABICB","AR","1968",0
"2023F","ABICB","AR","1969",0
"2023F","ABICB","AR","1970",0
"2023F","ABICB","AR","1971",0
"2023F","ABICB","AR","1972",0
"2023F","ABICB","AR","1973",0
"2023F","ABICB","AR","1974",0
"2023F","ABICB","AR","1975",0
"2023F","ABICB","AR","1976",0
"2023F","ABICB","AR","1977",0
"2023F","ABICB","AR","1978",0
"2023F","ABICB","AR","1979",0
"2023F","ABICB","AR","1980",0
"2023F","ABICB","AR","1981",17
"2023F","ABICB","AR","1982",17
"2023F","ABICB","AR","1983",3
"2023F","ABICB","AR","1984",0
"2023F","ABICB","AR","1985",15
"2023F","ABICB","AR","1986",2
"2023F","ABICB","AR","1987",0
"2023F","ABICB","AR","1988",-4
"2023F","ABICB","AR","1989",0
"2023F","ABICB","AR","1990",1
"2023F","ABICB","AR","1991",0
"2023F","ABICB","AR","1992",1
"2023F","ABICB","AR","1993",1
"2023F","ABICB","AR","1994",26
"2023F","ABICB","AR","1995",22
"2023F","ABICB","AR","1996",30
"2023F","ABICB","AR","1997",38
"2023F","ABICB","AR","1998",16
"2023F","ABICB","AR","1999",24
"2023F","ABICB","AR","2000",14
"2023F","ABICB","AR","2001",24
"2023F","ABICB","AR","2002",32
"2023F","ABICB","AR","2003",31
"2023F","ABICB","AR","2004",48
"2023F","ABICB","AR","2005",39
"2023F","ABICB","AR","2006",3
"2023F","ABICB","AR","2007",8
"2023F","ABICB","AR","2008",0
"2023F","ABICB","AR","2009",-4
"2023F","ABICB","AR","2010",-1
"2023F","ABICB","AR","2011",0
"2023F","ABICB","AR","2012",0
"2023F","ABICB","AR","2013",-2
"2023F","ABICB","AR","2014",-1
"2023F","ABICB","AR","2015",-2
"2023F","ABICB","AR","2016",-1
"2023F","ABICB","AR","2017",-1
"2023F","ABICB","AR","2018",-8
"2023F","ABICB","AR","2019",-6
"2023F","ABICB","AR","2020",-4
"2023F","ABICB","AR","2021",-4
"2023F","ABICB","AR","2022",-3
"2023F","ABICB","AR","2023",-3
"2023F","ABICB","AZ","1960",0
"2023F","ABICB","AZ","1961",0
"2023F","ABICB","AZ","1962",0
"2023F","ABICB","AZ","1963",0
"2023F","ABICB","AZ","1964",0
"2023F","ABICB","AZ","1965",0
"2023F","ABICB","AZ","1966",0
"2023F","ABICB","AZ","1967",0
"2023F","ABICB","AZ","1968",0
"2023F","ABICB","AZ","1969",0
"2023F","ABICB","AZ","1970",0
"2023F","ABICB","AZ","1971",0
"2023F","ABICB","AZ","1972",0
"2023F","ABICB","AZ","1973",0
"2023F","ABICB","AZ","1974",0
"2023F","ABICB","AZ","1975",0
"2023F","ABICB","AZ","1976",0
"2023F","ABICB","AZ","1977",0
"2023F","ABICB","AZ","1978",0
"2023F","ABICB","AZ","1979",0
"2023F","ABICB","AZ","1980",0
"2023F","ABICB","AZ","1981",1
"2023F","ABICB","AZ","1982",2
"2023F","ABICB","AZ","1983",0
"2023F","ABICB","AZ","1984",0
"2023F","ABICB","AZ","1985",0
"2023F","ABICB","AZ","1986",0
"2023F","ABICB","AZ","1987",0
"2023F","ABICB","AZ","1988",0
"2023F","ABICB","AZ","1989",0
"2023F","ABICB","AZ","1990",0
"2023F","ABICB","AZ","1991",0
"2023F","ABICB","AZ","1992",0
"2023F","ABICB","AZ","1993",0
"2023F","ABICB","AZ","1994",0
"2023F","ABICB","AZ","1995",0
"2023F","ABICB","AZ","1996",0
"2023F","ABICB","AZ","1997",0
"2023F","ABICB","AZ","1998",0
