Anonymised Name,Data Centre Type (Derived),Cleansed Voltage Level,Datetime (Local),Overall Data Centre Half Hourly Utilisation
Data Centre #33,Co-located,High Voltage Import,2024-01-28T13:00:00+00:00,25.15
Data Centre #2,Co-located,Extra-High Voltage Import,2024-01-28T13:00:00+00:00,4.390000000000001
Data Centre #43,Co-located,High Voltage Import,2024-01-28T13:00:00+00:00,24.279999999999998
Data Centre #59,Enterprise,High Voltage Import,2024-01-28T13:00:00+00:00,46.67
Data Centre #1,Enterprise,Extra-High Voltage Import,2024-01-28T13:00:00+00:00,2.11
Data Centre #72,Co-located,Low Voltage Import,2024-01-28T13:00:00+00:00,56.08
Data Centre #17,Co-located,High Voltage Import,2024-01-28T13:00:00+00:00,20.8
Data Centre #30,Co-located,High Voltage Import,2024-01-28T13:00:00+00:00,33.03
Data Centre #71,Co-located,Low Voltage Import,2024-01-28T13:00:00+00:00,30.4
Data Centre #5,Co-located,High Voltage Import,2024-01-28T13:00:00+00:00,19.950000000000003
Data Centre #80,Co-located,Low Voltage Import,2024-01-28T13:00:00+00:00,16.63
Data Centre #37,Co-located,High Voltage Import,2024-01-28T13:00:00+00:00,0.0
Data Centre #27,Enterprise,High Voltage Import,2024-01-28T13:00:00+00:00,44.59
Data Centre #34,Co-located,High Voltage Import,2024-01-28T13:00:00+00:00,21.279999999999998
Data Centre #29,Co-located,High Voltage Import,2024-01-28T13:00:00+00:00,9.24
Data Centre #11,Co-located,High Voltage Import,2024-01-28T13:00:00+00:00,0.24
Data Centre #55,Co-located,High Voltage Import,2024-01-28T13:00:00+00:00,28.660000000000004
Data Centre #42,Co-located,High Voltage Import,2024-01-28T13:00:00+00:00,18.69
Data Centre #19,Enterprise,Extra-High Voltage Import,2024-01-28T13:00:00+00:00,21.8
Data Centre #46,Co-located,High Voltage Import,2024-01-28T13:00:00+00:00,12.740000000000002
Data Centre #6,Co-located,Extra-High Voltage Import,2024-01-28T13:00:00+00:00,5.79
Data Centre #39,Co-located,High Voltage Import,2024-01-28T13:00:00+00:00,0.0
Data Centre #24,Co-located,High Voltage Import,2024-01-28T13:00:00+00:00,18.39
Data Centre #69,Co-located,High Voltage Import,2024-01-28T13:00:00+00:00,67.88
Data Centre #10,Co-located,High Voltage Import,2024-01-28T13:30:00+00:00,0.44
Data Centre #68,Co-located,Low Voltage Import,2024-01-28T13:30:00+00:00,30.880000000000003
Data Centre #55,Co-located,High Voltage Import,2024-01-28T13:30:00+00:00,28.749999999999996
Data Centre #5,Co-located,High Voltage Import,2024-01-28T13:30:00+00:00,20.119999999999997
Data Centre #29,Co-located,High Voltage Import,2024-01-28T13:30:00+00:00,20.13
Data Centre #15,Co-located,High Voltage Import,2024-01-28T13:30:00+00:00,0.0
Data Centre #10,Co-located,High Voltage Import,2024-01-28T13:30:00+00:00,10.95
Data Centre #62,Co-located,High Voltage Import,2024-01-28T13:30:00+00:00,32.0
Data Centre #30,Co-located,High Voltage Import,2024-01-28T13:30:00+00:00,33.21
Data Centre #64,Enterprise,Low Voltage Import,2024-01-28T13:30:00+00:00,13.819999999999999
Data Centre #71,Co-located,Low Voltage Import,2024-01-28T13:30:00+00:00,30.36
Data Centre #63,Co-located,High Voltage Import,2024-01-28T13:30:00+00:00,6.63
Data Centre #48,Co-located,High Voltage Import,2024-01-28T13:30:00+00:00,12.0
Data Centre #17,Co-located,High Voltage Import,2024-01-28T13:30:00+00:00,20.8
Data Centre #22,Co-located,High Voltage Import,2024-01-28T13:30:00+00:00,35.9
Data Centre #38,Co-located,High Voltage Import,2024-01-28T13:30:00+00:00,0.0
Data Centre #52,Co-located,High Voltage Import,2024-01-28T13:30:00+00:00,2.0
Data Centre #9,Co-located,Extra-High Voltage Import,2024-01-28T13:30:00+00:00,0.0
Data Centre #27,Enterprise,High Voltage Import,2024-01-28T13:30:00+00:00,45.09
Data Centre #18,Co-located,Extra-High Voltage Import,2024-01-28T13:30:00+00:00,27.91
Data Centre #8,Enterprise,Extra-High Voltage Import,2024-01-28T13:30:00+00:00,0.16999999999999998
Data Centre #23,Co-located,High Voltage Import,2024-01-28T13:30:00+00:00,23.549999999999997
Data Centre #49,Enterprise,High Voltage Import,2024-01-28T13:30:00+00:00,63.04
Data Centre #41,Co-located,High Voltage Import,2024-01-28T14:00:00+00:00,0.0
Data Centre #3,Co-located,Extra-High Voltage Import,2024-01-28T14:00:00+00:00,25.83
Data Centre #59,Enterprise,High Voltage Import,2024-01-28T14:00:00+00:00,46.12
Data Centre #22,Co-located,High Voltage Import,2024-01-28T14:00:00+00:00,35.93
Data Centre #66,Co-located,High Voltage Import,2024-01-28T14:00:00+00:00,24.740000000000002
Data Centre #28,Co-located,High Voltage Import,2024-01-28T14:00:00+00:00,6.78
Data Centre #7,Co-located,Extra-High Voltage Import,2024-01-28T14:00:00+00:00,35.13
Data Centre #65,Co-located,Low Voltage Import,2024-01-28T14:00:00+00:00,2.22
Data Centre #29,Co-located,High Voltage Import,2024-01-28T14:00:00+00:00,20.150000000000002
