"MAC","weekday","fecha_servidor","fecha_esp32","voltaje","corriente","potencia","frecuencia","energia","fp","ESP32_temp","WORKSTATION_CPU","WORKSTATION_CPU_POWER","WORKSTATION_CPU_TEMP","WORKSTATION_GPU","WORKSTATION_GPU_POWER","WORKSTATION_GPU_TEMP","WORKSTATION_RAM","WORKSTATION_RAM_POWER"
"3C:61:05:12:96:30","4","2021-05-06 10:00:00","2021-05-06 10:00:00","120.1","0.93","96.3","60","1.16","0.86","0","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","4","2021-05-06 10:00:01","2021-05-06 10:00:01","120.1","0.93","96.3","59.9","1.16","0.86","0","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","4","2021-05-06 10:00:01","2021-05-06 10:00:01","120","0.94","96.6","59.9","1.16","0.86","0","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","4","2021-05-06 10:00:02","2021-05-06 10:00:02","120","0.94","96.6","59.9","1.16","0.86","0","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","4","2021-05-06 10:00:03","2021-05-06 10:00:03","120","0.94","96.6","59.9","1.16","0.86","0","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","4","2021-05-06 10:00:03","2021-05-06 10:00:03","120.1","0.93","96.3","59.9","1.16","0.86","0","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","4","2021-05-06 10:00:03","2021-05-06 10:00:03","120.1","0.93","96.3","60","1.16","0.86","0","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","4","2021-05-06 10:00:04","2021-05-06 10:00:04","120.1","0.93","96.3","60","1.16","0.86","0","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","4","2021-05-06 10:00:04","2021-05-06 10:00:04","120","0.93","96.8","60","1.16","0.86","0","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","4","2021-05-06 10:00:05","2021-05-06 10:00:05","120","0.93","96.8","60","1.16","0.86","0","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","4","2021-05-06 10:00:05","2021-05-06 10:00:05","120","0.93","96.4","59.9","1.16","0.86","0","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","4","2021-05-06 10:00:06","2021-05-06 10:00:06","120","0.93","96.4","60","1.16","0.86","0","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","4","2021-05-06 10:00:07","2021-05-06 10:00:07","120.1","0.94","98.2","59.9","1.16","0.87","0","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","4","2021-05-06 10:00:07","2021-05-06 10:00:07","120.1","0.94","98.2","60","1.16","0.87","0","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","4","2021-05-06 10:00:08","2021-05-06 10:00:08","120.1","0.94","98.2","60","1.16","0.87","0","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","4","2021-05-06 10:00:08","2021-05-06 10:00:08","120","0.94","96.7","60","1.16","0.86","0","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","4","2021-05-06 10:00:09","2021-05-06 10:00:09","120","0.94","96.7","60","1.16","0.86","0","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","4","2021-05-06 10:00:09","2021-05-06 10:00:09","120","0.94","96.9","60","1.16","0.86","0","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","4","2021-05-06 10:00:10","2021-05-06 10:00:10","120","0.94","96.9","60","1.16","0.86","0","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","4","2021-05-06 10:00:10","2021-05-06 10:00:10","120","0.94","97.4","60","1.16","0.86","0","0","0","0","0","0","0","0","0"
