hour_of_day,n_readings,mean_power_w,p95_power_w,mean_cpu_util_pct,mean_gpu_util_pct
0,6547,81.54,101.87,0.66,0.01
1,6500,81.65,107.81,0.73,0.01
2,6224,82.0,113.0,0.81,0.02
3,6262,83.99,118.4,1.02,0.01
4,6212,84.15,125.04,1.15,0.01
5,6185,82.39,113.68,0.93,0.01
6,6195,83.3,115.66,1.03,0.01
7,6202,83.97,125.0,1.2,0.01
8,6215,82.53,112.8,0.87,0.01
9,6369,82.09,113.0,0.86,0.01
10,6372,83.65,123.0,1.09,0.01
11,6353,81.71,119.5,1.04,0.02
12,6385,80.96,115.1,0.95,0.01
13,6374,80.6,112.83,0.86,0.01
14,6352,81.73,121.44,1.05,0.02
15,6388,81.66,119.2,1.05,0.03
16,6365,80.61,110.78,0.96,0.02
17,6415,81.63,114.9,1.22,0.02
18,6440,81.05,118.4,1.16,0.02
19,6296,79.68,101.38,0.9,0.02
20,6346,79.68,102.18,0.9,0.02
21,6357,79.71,102.72,0.95,0.04
22,6544,80.19,103.3,0.89,0.02
23,6183,80.93,117.26,1.18,0.01
