country,year,iso_code,population,gdp,biofuel_cons_change_pct,biofuel_cons_change_twh,biofuel_cons_per_capita,biofuel_consumption,biofuel_elec_per_capita,biofuel_electricity,biofuel_share_elec,biofuel_share_energy,carbon_intensity_elec,coal_cons_change_pct,coal_cons_change_twh,coal_cons_per_capita,coal_consumption,coal_elec_per_capita,coal_electricity,coal_prod_change_pct,coal_prod_change_twh,coal_prod_per_capita,coal_production,coal_share_elec,coal_share_energy,electricity_demand,electricity_generation,electricity_share_energy,energy_cons_change_pct,energy_cons_change_twh,energy_per_capita,energy_per_gdp,fossil_cons_change_pct,fossil_cons_change_twh,fossil_elec_per_capita,fossil_electricity,fossil_energy_per_capita,fossil_fuel_consumption,fossil_share_elec,fossil_share_energy,gas_cons_change_pct,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_electricity,gas_energy_per_capita,gas_prod_change_pct,gas_prod_change_twh,gas_prod_per_capita,gas_production,gas_share_elec,gas_share_energy,greenhouse_gas_emissions,hydro_cons_change_pct,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_electricity,hydro_energy_per_capita,hydro_share_elec,hydro_share_energy,low_carbon_cons_change_pct,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_elec_per_capita,low_carbon_electricity,low_carbon_energy_per_capita,low_carbon_share_elec,low_carbon_share_energy,net_elec_imports,net_elec_imports_share_demand,nuclear_cons_change_pct,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_electricity,nuclear_energy_per_capita,nuclear_share_elec,nuclear_share_energy,oil_cons_change_pct,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_electricity,oil_energy_per_capita,oil_prod_change_pct,oil_prod_change_twh,oil_prod_per_capita,oil_production,oil_share_elec,oil_share_energy,other_renewable_consumption,other_renewable_electricity,other_renewable_exc_biofuel_electricity,other_renewables_cons_change_pct,other_renewables_cons_change_twh,other_renewables_elec_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_energy_per_capita,other_renewables_share_elec,other_renewables_share_elec_exc_biofuel,other_renewables_share_energy,per_capita_electricity,primary_energy_consumption,renewables_cons_change_pct,renewables_cons_change_twh,renewables_consumption,renewables_elec_per_capita,renewables_electricity,renewables_energy_per_capita,renewables_share_elec,renewables_share_energy,solar_cons_change_pct,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_electricity,solar_energy_per_capita,solar_share_elec,solar_share_energy,wind_cons_change_pct,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_electricity,wind_energy_per_capita,wind_share_elec,wind_share_energy,continent
United States,2017,USA,329791232.0,17606123716608.0,0.202,0.825,1243.373,410.054,190.211,62.73,1.548,1.588,441.05,-2.731,-108.148,11681.913,3852.593,3656.374,1205.84,6.534,266.804,13191.312,4350.379,29.757,14.919,4108.62,4052.31,17.439,0.376,96.793,78303.609,1.467,-0.477,-102.102,7702.357,2540.17,64632.117,21315.105,62.684,82.54,-1.216,-91.067,7399.922,3931.093,1296.44,22438.203,2.587,188.146,22625.547,7461.707,31.993,28.655,1787.27,12.527,83.783,789.888,890.988,293.84,2395.115,7.251,3.059,4.415,198.896,4508.74,4585.143,1512.14,13671.498,37.316,17.46,56.31,1.371,-0.092,-14.816,2163.843,2440.786,804.95,6561.251,19.864,8.379,0.975,97.115,10062.591,114.891,37.89,30512.002,5.798,365.962,20247.631,6677.491,0.935,38.966,253.612,81.77,19.04,0.094,-0.071,247.945,57.733,769.008,2.018,0.47,0.982,12287.501,25823.844,8.09,213.712,2344.897,2144.357,707.19,7110.247,17.452,9.08,40.847,59.372,207.734,234.33,77.28,629.895,1.907,0.804,12.031,69.804,683.609,771.094,254.3,2072.855,6.275,2.647,Unknown
Ethiopia,2018,ETH,111129440.0,206205566976.0,,,,,0.27,0.03,0.206,,23.368,,,,,0.0,0.0,,,,,0.0,,13.55,14.55,,6.405,5.509,823.583,0.444,,,0.0,0.0,,,0.0,,,,,0.0,0.0,,,,,,0.0,,0.34,,,,122.83,13.65,,93.814,,,,,130.928,14.55,,100.0,,-1.0,-7.38,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,0.0,,,0.03,0.0,,,0.27,0.0,,0.206,0.0,,130.928,91.524,,,,130.928,14.55,,100.0,,,,,0.18,0.02,,0.137,,,,,7.649,0.85,,5.842,,Unknown
Ethiopia,2019,ETH,114120592.0,221885284352.0,,,,,0.263,0.03,0.199,,24.552,,,,,0.0,0.0,,,,,0.0,,13.93,15.07,,14.962,13.694,921.991,0.474,,,0.088,0.01,,,0.066,,,,,0.0,0.0,,,,,,0.0,,0.37,,,,126.182,14.4,,95.554,,,,,131.966,15.06,,99.934,,-1.14,-8.184,,,,0.0,0.0,,0.0,,,,,0.088,0.01,,,,,,0.066,,,0.03,0.0,,,0.263,0.0,,0.199,0.0,,132.053,105.218,,,,131.966,15.06,,99.934,,,,,0.175,0.02,,0.133,,,,,5.345,0.61,,4.048,,Unknown
United States,2022,USA,338289856.0,19493170446336.0,5.231,21.754,1293.546,437.593,153.271,51.85,1.209,1.651,385.98,-6.262,-183.919,8137.918,2752.975,2457.981,831.51,3.854,124.427,9911.725,3353.036,19.396,10.387,4328.12,4286.91,18.129,2.109,547.477,78347.914,1.36,1.461,309.301,7559.257,2557.22,63494.16,21479.43,59.652,81.041,5.16,431.617,8795.866,4987.054,1687.07,26000.975,5.18,489.249,29364.781,9933.808,39.354,33.187,1654.66,0.928,3.649,655.104,735.346,248.76,1936.517,5.803,2.472,5.26,238.176,5024.875,5113.041,1729.69,14853.758,40.348,18.959,41.21,0.952,-1.04,-28.865,2031.819,2280.707,771.54,6006.149,17.998,7.666,0.624,61.602,9930.587,114.222,38.64,29355.26,6.45,537.012,26199.668,8863.082,0.901,37.468,216.581,70.01,18.16,-3.265,-7.939,206.953,53.682,640.222,1.633,0.424,0.817,12672.299,26504.305,9.278,267.042,2993.056,2832.334,958.15,8847.608,22.351,11.293,24.727,105.484,540.069,606.226,205.08,1596.469,4.784,2.038,14.834,144.094,1143.709,1283.81,434.3,3380.855,10.131,4.315,Unknown
United States,2013,USA,319375168.0,16122472562688.0,10.388,33.447,1112.88,355.426,190.56,60.86,1.501,1.381,501.545,3.8,183.867,15725.304,5022.271,4950.635,1581.11,-3.267,-188.096,17436.275,5568.713,38.986,19.52,4113.49,4055.61,17.342,2.72,681.26,80559.258,1.596,2.497,529.209,8598.696,2746.21,68010.711,21720.932,67.714,84.423,2.747,189.0,7070.228,3522.002,1124.84,22137.689,1.012,65.679,20530.486,6556.927,27.735,27.48,2034.07,-2.73,-24.913,726.46,826.238,263.88,2274.628,6.507,2.824,5.178,152.053,4007.697,4099.88,1309.4,12548.557,32.286,15.577,57.88,1.407,2.559,41.357,2172.121,2470.511,789.02,6801.158,19.455,8.442,1.651,156.342,9628.432,126.059,40.26,30147.715,13.484,619.867,16334.854,5216.947,0.993,37.423,247.921,79.62,18.76,4.711,11.197,249.299,58.74,776.27,1.963,0.463,0.964,12698.577,25728.627,7.751,110.697,1835.576,1629.369,520.38,5747.398,12.831,7.134,77.489,18.936,43.715,28.305,9.04,136.876,0.223,0.17,19.186,72.03,462.054,525.526,167.84,1446.744,4.138,1.796,Unknown
United States,2019,USA,334319680.0,18540551733248.0,2.78,11.25,1243.93,415.87,172.021,57.51,1.383,1.565,413.223,-14.609,-538.999,9423.495,3150.46,2886.339,964.96,-7.21,-308.397,11872.033,3969.054,23.205,11.853,4197.42,4158.38,17.374,-0.712,-190.492,79500.234,1.434,-1.192,-264.713,7741.722,2588.21,65650.164,21948.141,62.241,82.579,3.533,290.366,8509.999,4743.395,1585.81,25454.676,10.366,871.749,27761.186,9281.11,38.135,32.018,1718.34,-1.398,-13.492,752.485,845.329,282.61,2250.794,6.796,2.831,2.09,74.218,4630.352,4696.613,1570.17,13850.071,37.759,17.421,39.04,0.93,0.288,-1.763,2155.132,2421.066,809.41,6446.32,19.465,8.109,-0.156,-16.079,10287.683,111.989,37.44,30771.992,12.154,946.503,26124.098,8733.8,0.9,38.707,234.433,75.38,17.87,-6.194,-16.005,225.473,53.452,701.224,1.813,0.43,0.882,12438.334,26578.494,3.425,75.98,2475.22,2275.547,760.76,7403.751,18.295,9.313,14.49,35.102,284.616,319.724,106.89,851.328,2.57,1.071,8.514,59.126,787.816,885.021,295.88,2356.476,7.115,2.964,Unknown
Aruba,2012,ABW,102126.0,,,,,,0.0,0.0,0.0,,554.348,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.92,0.92,,25.288,1.078,52292.039,,,,7637.624,0.78,,,84.783,,,,,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.51,,,,0.0,0.0,,0.0,,,,,1370.856,0.14,,15.217,,0.0,0.0,,,,0.0,0.0,,0.0,,,,,7637.624,0.78,,,0.0,0.0,0.0,84.783,,,0.0,0.0,,,0.0,0.0,,0.0,0.0,,9008.479,5.34,,,,1370.856,0.14,,15.217,,,,,0.0,0.0,,0.0,,,,,1370.856,0.14,,15.217,,Unknown
Aruba,2020,ABW,106597.0,,,,,,0.0,0.0,0.0,,556.701,,,,,0.0,0.0,,,,,0.0,,0.97,0.97,,-14.781,-0.804,43496.941,,,,7692.524,0.82,,,84.536,,,,,0.0,0.0,,,,,,0.0,,0.54,,,,0.0,0.0,,0.0,,,,,1407.169,0.15,,15.464,,0.0,0.0,,,,0.0,0.0,,0.0,,,,,7692.524,0.82,,,,,,84.536,,,0.0,0.0,,,0.0,0.0,,0.0,0.0,,9099.693,4.637,,,,1407.169,0.15,,15.464,,,,,93.811,0.01,,1.031,,,,,1313.358,0.14,,14.433,,Unknown
Aruba,2016,ABW,104890.0,,,,,,0.0,0.0,0.0,,563.83,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.94,0.94,,-2.826,-0.153,50017.652,,,,7627.038,0.8,,,85.106,,,,,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.53,,,,0.0,0.0,,0.0,,,,,1334.732,0.14,,14.894,,0.0,0.0,,,,0.0,0.0,,0.0,,,,,7627.038,0.8,,,0.0,0.0,0.0,85.106,,,0.0,0.0,,,0.0,0.0,,0.0,0.0,,8961.77,5.246,,,,1334.732,0.14,,14.894,,,,,95.338,0.01,,1.064,,,,,1239.394,0.13,,13.83,,Unknown
Aruba,2011,ABW,101304.0,,,,,,0.0,0.0,0.0,,580.645,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.93,0.93,,-20.444,-1.095,42076.207,,,,8094.448,0.82,,,88.172,,,,,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.54,,,,0.0,0.0,,0.0,,,,,1085.841,0.11,,11.828,,0.0,0.0,,,,0.0,0.0,,0.0,,,,,8094.448,0.82,,,0.0,0.0,0.0,88.172,,,0.0,0.0,,,0.0,0.0,,0.0,0.0,,9180.289,4.262,,,,1085.841,0.11,,11.828,,,,,0.0,0.0,,0.0,,,,,1085.841,0.11,,11.828,,Unknown
